O homem está ocupado.	O homem está ocupado.	0	False
Ela não virá.	Ela não virá.	0	False
Hoje eu cheguei cedo.	Hoje eu cheguei cedo.	0	False
Ele me disse que tudo estaria pronto após as três horas.	Ele me disse que tudo estaria pronto após as três horas.	0	False
Para descobrir se a vacina era eficaz contra as mutações, os pesquisadores da empresa usaram soros de oito participantes do ensaio clínico da primeira fase.	Para descobrir se a vacina era eficaz contra as mutações, os pesquisadores da empresa usaram soros de oito participantes do ensaio clínico da primeira fase.	0	False
Há trinta anos, ele era uma pessoa que sabia o que pretendia fazer no dia seguinte.	Há trinta anos, ele era uma pessoa que sabia o que pretendia fazer no dia seguinte.	0	False
Eu escrevi aqueles livros e aquelas cartas à caneta.	Eu escrevi aqueles livros e aquelas cartas à caneta.	0	False
A trama ganha contornos sombrios quando José, o novo locatário da granja, faz uma visita aos seus primos distantes.	A trama ganha contornos sombrios quando José, o novo locatário da granja, faz uma visita aos seus primos distantes.	0	False
No ensaísmo, destaca-se o largo espectro temático, com ênfase na literatura brasileira, ficção ou poesia, dos séculos XIX e XX.	No ensaísmo, destaca-se o largo espectro temático, com ênfase na literatura brasileira, ficção ou poesia, dos séculos XIX e XX.	0	False
O século XXI também se faz presente.	O século XXI também se faz presente.	0	False
Ao lado de pesquisas históricas, comparecem ensaios que enfrentam questões polêmicas.	Ao lado de pesquisas históricas, comparecem ensaios que enfrentam questões polêmicas.	0	False
A seção contempla igualmente revisões do cânone e textos na fronteira entre o ensaio e crônica.	A seção contempla igualmente revisões do cânone e textos na fronteira entre o ensaio e crônica.	0	False
Os seis poetas nos deixam entrever um denominador comum: apesar de bastante diferenciados, neles é perceptível a valorização técnica do poema.	Os seis poetas nos deixam entrever um denominador comum: apesar de bastante diferenciados, neles é perceptível a valorização técnica do poema.	0	False
Não por acaso, quase todos têm formação universitária, em oposição ao caráter mais “intuitivo”, espontâneo, de poetas de gerações passadas.	Não por acaso, quase todos têm formação universitária, em oposição ao caráter mais “intuitivo”, espontâneo, de poetas de gerações passadas.	0	False
Reafirmam a pujança de nossa poesia contemporânea, que, sintonizada com o presente, não abandona um diálogo crítico com o passado.	Reafirmam a pujança de nossa poesia contemporânea, que, sintonizada com o presente, não abandona um diálogo crítico com o passado.	0	False
Em 1931, a Biblioteca de Cultura Nacional passou a chamar-se Coleção Afrânio Peixoto, em homenagem ao seu idealizador e realizador.	Em 1931, a Biblioteca de Cultura Nacional passou a chamar-se Coleção Afrânio Peixoto, em homenagem ao seu idealizador e realizador.	0	False
A Academia Brasileira de Letras criou, preliminarmente, a Comissão de Lexicografia, que mais recentemente se ampliou nos propósitos com a Comissão de Lexicografia e Lexicologia.	A Academia Brasileira de Letras criou, preliminarmente, a Comissão de Lexicografia, que mais recentemente se ampliou nos propósitos com a Comissão de Lexicografia e Lexicologia.	0	False
Por lexicografia se entende a arte de fazer um dicionário e por lexicologia a ciência que estuda e descreve o léxico de uma língua.	Por lexicografia se entende a arte de fazer um dicionário e por lexicologia a ciência que estuda e descreve o léxico de uma língua.	0	False
O regime da comunhão parcial de bens é caracterizado pela separação de bens passados e pela comunhão de bens futuros.	O regime da comunhão parcial de bens é caracterizado pela separação de bens passados e pela comunhão de bens futuros.	1	True
Assim, os bens que cada cônjuge possuía antes do casamento continuam a fazer parte apenas do patrimônio individual.	Assim, os bens que cada cônjuge possuía antes do casamento continuam a fazer parte apenas do patrimônio individual.	0	False
Já os adquiridos na constância do casamento compõem o patrimônio em comum do casal.	Já os adquiridos na constância do casamento compõem o patrimônio em comum do casal.	0	False
As doações e os bens adquiridos com o patrimônio que já existia antes da união também são de propriedade individual de cada cônjuge.	As doações e os bens adquiridos com o patrimônio que já existia antes da união também são de propriedade individual de cada cônjuge.	0	False
Por outro lado, o regime da comunhão universal de bens tem a característica de tornar comuns todos os bens, independentemente de terem sido adquiridos antes ou após o matrimônio.	Por outro lado, o regime da comunhão universal de bens tem a característica de tornar comuns todos os bens, independentemente de terem sido adquiridos antes ou após o matrimônio.	0	False
Para algum bem não fazer parte da comunhão do casal, é necessário que a exclusão seja prevista em lei ou no pacto antenupcial.	Para algum bem não fazer parte da comunhão do casal, é necessário que a exclusão seja prevista em lei ou no pacto antenupcial.	0	False
O regime da separação de bens independe do pacto antenupcial, já que é o regime determinado por lei.	O regime da separação de bens independe do pacto antenupcial, já que é o regime determinado por lei.	0	False
Nesse regime, cada cônjuge possui a propriedade exclusiva dos próprios bens, independentemente da época em que os adquiriu.	Nesse regime, cada cônjuge possui a propriedade exclusiva dos próprios bens, independentemente da época em que os adquiriu.	0	False
No percurso da história do ensino de línguas estrangeiras, as formas de se olhar para esse processo e concretizá-lo nas aulas de línguas foram teorizadas de modos diferentes, especialmente a partir das noções de abordagens, métodos e técnicas.	No percurso da história do ensino de línguas estrangeiras, as formas de se olhar para esse processo e concretizá-lo nas aulas de línguas foram teorizadas de modos diferentes, especialmente a partir das noções de abordagens, métodos e técnicas.	0	False
Esses conceitos já foram amplamente discutidos em trabalhos científicos da área, pois são fundamentais para a compreensão da prática de sala de aula.	Esses conceitos já foram amplamente discutidos em trabalhos científicos da área, pois são fundamentais para a compreensão da prática de sala de aula.	0	False
Assim, neste trabalho, pretendemos refletir sobre o processo de ensinar uma língua estrangeira.	Assim, neste trabalho, pretendemos refletir sobre o processo de ensinar uma língua estrangeira.	0	False
Propomos princípios de planejamento de aulas que possibilitam ao professor organizar seu fazer pedagógico considerando todos os elementos da complexa teia de elementos inerente a tal processo.	Propomos princípios de planejamento de aulas que possibilitam ao professor organizar seu fazer pedagógico considerando todos os elementos da complexa teia de elementos inerente a tal processo.	0	False
Ao começar sua jornada de escrita, às 5h da manhã, ele confessa não ter a menor ideia sobre o sentido (ou sobre a falta dele) de se fazer um diário.	Ao começar sua jornada de escrita, às 5h da manhã, ele confessa não ter a menor ideia sobre o sentido (ou sobre a falta dele) de se fazer um diário.	0	False
A partir de uma coleção de dados audiovisuais de situações de complexa ecologia interacional e material, abordamos questões teóricas importantes.	A partir de uma coleção de dados audiovisuais de situações de complexa ecologia interacional e material, abordamos questões teóricas importantes.	0	False
Quando ela chegou, pensou que seria um bom momento para tentar cumprir sua missão.	Quando ela chegou, pensou que seria um bom momento para tentar cumprir sua missão.	0	False
Ele me cumprimentou afavelmente após o jantar.	Ele me cumprimentou afavelmente após o jantar.	0	False
A saída de Fausto Silva da Globo, após 32 anos comandando o domingo, representa o fim de uma era.	A saída de Fausto Silva da Globo, após 32 anos comandando o domingo, representa o fim de uma era.	0	False
Os apresentadores da casa tinham autonomia para falar o que quisessem, mesmo quando tocavam em assuntos delicados para a direção da empresa.	Os apresentadores da casa tinham autonomia para falar o que quisessem, mesmo quando tocavam em assuntos delicados para a direção da empresa.	0	False
Dizia o que queria, ao vivo, sem consultas prévias.	Dizia o que queria, ao vivo, sem consultas prévias.	0	False
Durante quase toda a sua jornada como apresentador, Jô Soares também fazia isso, inclusive na escolha de seus entrevistados.	Durante quase toda a sua jornada como apresentador, Jô Soares também fazia isso, inclusive na escolha de seus entrevistados.	0	False
Eles não eram submetidos à direção da emissora.	Eles não eram submetidos à direção da emissora.	0	False
No ano passado, por causa da pandemia, o programa foi reduzido em uma hora, antecipando o Fantástico.	No ano passado, por causa da pandemia, o programa foi reduzido em uma hora, antecipando o Fantástico.	0	False
Desde então, tem sido gravado, sem previsão de retomar suas edições ao vivo.	Desde então, tem sido gravado, sem previsão de retomar suas edições ao vivo.	0	False
Foi-lhe oferecida uma vaga nas noites de quinta-feira, com liberdade para a criação de um programa criado por ele e pela casa.	Foi-lhe oferecida uma vaga nas noites de quinta-feira, com liberdade para a criação de um programa criado por ele e pela casa.	0	False
O apresentador não aceitou e preferiu se desligar da empresa.	O apresentador não aceitou e preferiu se desligar da empresa.	0	False
Resta saber onde a Globo vai arrumar um projeto que lhe assegure o faturamento que o programa, com este apresentador, alcança hoje.	Resta saber onde a Globo vai arrumar um projeto que lhe assegure o faturamento que o programa, com este apresentador, alcança hoje.	0	False
Ao menos seis ações no Distrito Federal e em São Paulo questionam a participação de Vinícius.	Ao menos seis ações no Distrito Federal e em São Paulo questionam a participação de Vinícius.	0	False
O pleito foi realizado em outubro do ano passado e reelegeu o engenheiro para a presidência do órgão até 2023.	O pleito foi realizado em outubro do ano passado e reelegeu o engenheiro para a presidência do órgão até 2023.	0	False
A legislação permite que representantes do conselho permaneçam na presidência por dois mandatos seguidos.	A legislação permite que representantes do conselho permaneçam na presidência por dois mandatos seguidos.	0	False
Ele espera que a Justiça exija uma nova eleição ou anule os votos dados ao candidato vencedor.	Ele espera que a Justiça exija uma nova eleição ou anule os votos dados ao candidato vencedor.	0	False
A votação chegou a ser considerada nula pela Justiça Federal de São Paulo.	A votação chegou a ser considerada nula pela Justiça Federal de São Paulo.	0	False
A despeito da crise do novo coronavírus, a literatura continua cumprindo sua função e colocando novos lançamentos no mercado.	A despeito da crise do novo coronavírus, a literatura continua cumprindo sua função e colocando novos lançamentos no mercado.	0	False
Eles tratam de importantes temas universais, vistos de uma perspectiva bastante particular.	Eles tratam de importantes temas universais, vistos de uma perspectiva bastante particular.	0	False
Não à toa, o livro é um dos mais vendidos da famosa lista do jornal americano.	Não à toa, o livro é um dos mais vendidos da famosa lista do jornal americano.	0	False
Seu objetivo é dar aos leitores uma base para entender como a raça funciona, com uma linguagem simples e dedicada ao diálogo, mas sempre atenta às manifestações de privilégio e opressão.	Seu objetivo é dar aos leitores uma base para entender como a raça funciona, com uma linguagem simples e dedicada ao diálogo, mas sempre atenta às manifestações de privilégio e opressão.	0	False
Outro lançamento recente, "Contra Mim" (R$ 54,90, 256, Biblioteca Azul), do sempre ótimo Valter Hugo Mãe, vem sendo considerado a obra mais pessoal do autor.	Outro lançamento recente, "Contra Mim" (R$ 54,90, 256, Biblioteca Azul), do sempre ótimo Valter Hugo Mãe, vem sendo considerado a obra mais pessoal do autor.	0	False
Com a linguagem de crônica que seus leitores conhecem bem, o autor recupera a infância e parte da adolescência e torna suas memórias os temas de sua literatura.	Com a linguagem de crônica que seus leitores conhecem bem, o autor recupera a infância e parte da adolescência e torna suas memórias os temas de sua literatura.	0	False
Hoje cidadã brasileira, ela foi apátrida por 30 anos.	Hoje cidadã brasileira, ela foi apátrida por 30 anos.	0	False
Filha de sírios e nascida no Líbano, ela não poderia existir oficialmente no país em que nasceu porque a lei no Líbano diz que a nacionalidade vem do sangue e não do território.	Filha de sírios e nascida no Líbano, ela não poderia existir oficialmente no país em que nasceu porque a lei no Líbano diz que a nacionalidade vem do sangue e não do território.	0	False
À direita ou à esquerda, os governantes, quando imbuídos de algum zelo democrático, permitem a alternância de poder sem sabotá-la com narrativas fantasiosas que incitam ódio e revolta.	À direita ou à esquerda, os governantes, quando imbuídos de algum zelo democrático, permitem a alternância de poder sem sabotá-la com narrativas fantasiosas que incitam ódio e revolta.	0	False
A atitude de Trump deveu-se, antes, a uma loucura ambidestra: o desvario do poder.	A atitude de Trump deveu-se, antes, a uma loucura ambidestra: o desvario do poder.	0	False
Tomado por essa loucura, o líder populista constrói narrativas conspiratórias e, sustentado pela massa, vai com ela até onde for possível.	Tomado por essa loucura, o líder populista constrói narrativas conspiratórias e, sustentado pela massa, vai com ela até onde for possível.	0	False
O que se entende por isso não é consensual, mas é algo que possui pontos comuns entre os dotados de boa-fé e boa vontade.	O que se entende por isso não é consensual, mas é algo que possui pontos comuns entre os dotados de boa-fé e boa vontade.	0	False
Dados da campanha de vacinação contra o coronavírus em Israel indicam queda de 60% no número de hospitalizações.	Dados da campanha de vacinação contra o coronavírus em Israel indicam queda de 60% no número de hospitalizações.	0	False
A campanha de imunização israelense, considerada a mais avançada do mundo, planeja vacinar 70% da população até abril.	A campanha de imunização israelense, considerada a mais avançada do mundo, planeja vacinar 70% da população até abril.	0	False
A paciente infectada é uma mulher de 56 anos que voltou de uma viagem à Europa em 30 de dezembro e cumpriu quarentena na Nova Zelândia até 13 de janeiro.	A paciente infectada é uma mulher de 56 anos que voltou de uma viagem à Europa em 30 de dezembro e cumpriu quarentena na Nova Zelândia até 13 de janeiro.	0	False
Nesse período, ela fez dois testes de detecção do coronavírus que tiveram resultado negativo, o que levou as autoridades a investigarem se a paciente pode ter sido infectada nas instalações do hotel onde ficou isolada depois de retornar ao país.	Nesse período, ela fez dois testes de detecção do coronavírus que tiveram resultado negativo, o que levou as autoridades a investigarem se a paciente pode ter sido infectada nas instalações do hotel onde ficou isolada depois de retornar ao país.	0	False
Cerca de 15 pessoas que tiveram contato próximo com a mulher estão sendo rastreadas e submetidas a testes, mas até esta segunda-feira não houve confirmação de novas infecções.	Cerca de 15 pessoas que tiveram contato próximo com a mulher estão sendo rastreadas e submetidas a testes, mas até esta segunda-feira não houve confirmação de novas infecções.	0	False
Eles não podem sair de casa até que os resultados fiquem prontos.	Eles não podem sair de casa até que os resultados fiquem prontos.	0	False
Segundo as autoridades, há 70 prédios na região e o objetivo é que o teste em massa termine em até 48h para que as pessoas possam sair na segunda (25) para trabalhar.	Segundo as autoridades, há 70 prédios na região e o objetivo é que o teste em massa termine em até 48h para que as pessoas possam sair na segunda (25) para trabalhar.	0	False
O governo de Hong Kong tomou medidas agressivas para combater a pandemia, mas a atual decisão é o primeiro bloqueio na cidade.	O governo de Hong Kong tomou medidas agressivas para combater a pandemia, mas a atual decisão é o primeiro bloqueio na cidade.	0	False
Muitos prédios são antigos e mal conservados nesta área densamente povoada, onde as unidades subdivididas são comuns, disse a secretária da Saúde.	Muitos prédios são antigos e mal conservados nesta área densamente povoada, onde as unidades subdivididas são comuns, disse a secretária da Saúde.	0	False
O risco de infecção na comunidade é bastante alto.	O risco de infecção na comunidade é bastante alto.	0	False
A região registrou 162 novos casos de Covid-19 neste mês e a proporção do vírus detectado em amostras de esgoto dos edifícios foi grande, segundo a secretária.	A região registrou 162 novos casos de Covid-19 neste mês e a proporção do vírus detectado em amostras de esgoto dos edifícios foi grande, segundo a secretária.	0	False
De acordo com a legislação trabalhista dos EUA, a empresa pode ignorar as exigências do sindicato até que ele consiga o apoio da maioria dos funcionários.	De acordo com a legislação trabalhista dos EUA, a empresa pode ignorar as exigências do sindicato até que ele consiga o apoio da maioria dos funcionários.	0	False
Ele concedeu coletiva em Brasília antes de viajar para Bahia e Espírito Santo, onde se reunirá com bancadas dentro de sua campanha pela presidência da Câmara dos Deputados.	Ele concedeu coletiva em Brasília antes de viajar para Bahia e Espírito Santo, onde se reunirá com bancadas dentro de sua campanha pela presidência da Câmara dos Deputados.	0	False
O líder do centro ponderou, no entanto, que conversou com o ministro da Economia, Paulo Guedes, e que o ministro negou a intenção de propor o tributo.	O líder do centro ponderou, no entanto, que conversou com o ministro da Economia, Paulo Guedes, e que o ministro negou a intenção de propor o tributo.	0	False
Na pasta, no entanto, secretários e técnicos voltaram a defender o imposto desde o final do ano passado.	Na pasta, no entanto, secretários e técnicos voltaram a defender o imposto desde o final do ano passado.	0	False
O deputado federal ressaltou que a atividade econômica tem a possibilidade de crescer 5% neste ano.	O deputado federal ressaltou que a atividade econômica tem a possibilidade de crescer 5% neste ano.	0	False
Para isso, no entanto, ressaltou que é necessário fazer "o dever de casa", aprovando as reformas no primeiro semestre.	Para isso, no entanto, ressaltou que é necessário fazer "o dever de casa", aprovando as reformas no primeiro semestre.	0	False
Apesar da pressão, os presentes voltaram a dizer que é possível evitar um aumento da miséria no país sem a extensão do auxílio emergencial.	Apesar da pressão, os presentes voltaram a dizer que é possível evitar um aumento da miséria no país sem a extensão do auxílio emergencial.	0	False
A promotora deve recomendar ao Ministério Público do Rio de Janeiro a abertura de um inquérito criminal e a adoção de medidas cautelares.	A promotora deve recomendar ao Ministério Público do Rio de Janeiro a abertura de um inquérito criminal e a adoção de medidas cautelares.	0	False
Um projeto de lei que busca tornar mais rígidas as regras para busca e apreensão em escritórios de advocacia começou a tramitar na Câmara dos Deputados no fim do ano passado.	Um projeto de lei que busca tornar mais rígidas as regras para busca e apreensão em escritórios de advocacia começou a tramitar na Câmara dos Deputados no fim do ano passado.	0	False
De um lado, procuradores e juízes veem na proposta uma tentativa de blindagem.	De um lado, procuradores e juízes veem|||DIFF|||vêm na proposta uma tentativa de blindagem.	1	True
De outro, advogados defendem que, diante de abusos, a alteração busca coibir que tais medidas sejam autorizadas com base em elementos frágeis.	De outro, advogados defendem que, diante de abusos, a alteração busca coibir que tais medidas sejam autorizadas com base em elementos frágeis.	0	False
Um dos argumentos da advocacia a favor do projeto é que, por conter documentos não apenas de advogados, mas de seus clientes, ter critérios rigorosos para que a busca e apreensão ocorra nos escritórios é importante para resguardar as informações dos clientes e, assim, o direito à ampla defesa dos cidadãos.	Um dos argumentos da advocacia a favor do projeto é que, por conter documentos não apenas de advogados, mas de seus clientes, ter critérios rigorosos para que a busca e apreensão ocorra nos escritórios é importante para resguardar as informações dos clientes e, assim, o direito à ampla defesa dos cidadãos.	0	False
O projeto é visto como resposta à operação deflagrada pela Polícia Federal, em setembro do ano passado, que investiga suposto esquema de desvios de recursos públicos do Sistema e que envolveu mandados de busca e apreensão a diversos escritórios de advocacia.	O projeto é visto como resposta à operação deflagrada pela Polícia Federal, em setembro do ano passado, que investiga suposto esquema de desvios de recursos públicos do Sistema e que envolveu mandados de busca e apreensão a diversos escritórios de advocacia.	0	False
Apesar de a Constituição e o Estatuto da Advocacia garantirem a inviolabilidade do advogado, ela não é absoluta.	Apesar de a Constituição e o Estatuto da Advocacia garantirem a inviolabilidade do advogado, ela não é absoluta.	0	False
A atual redação do Estatuto da Advocacia prevê que “presentes indícios de autoria e materialidade da prática de crime por parte de advogado, a autoridade judiciária competente poderá decretar a quebra da inviolabilidade”.	A atual redação do Estatuto da Advocacia prevê que “presentes indícios de autoria e materialidade da prática de crime por parte de advogado, a autoridade judiciária competente poderá decretar a quebra da inviolabilidade”.	0	False
Dessa forma, a mudança central que este ponto do projeto de lei pretende realizar é elencar elementos que não seriam suficientes para motivar um mandado de busca e apreensão em escritórios de advogados.	Dessa forma, a mudança central que este ponto do projeto de lei pretende realizar é elencar elementos que não seriam suficientes para motivar um mandado de busca e apreensão em escritórios de advogados.	0	False
As regras gerais sobre busca e apreensão estão no Código de Processo Penal, que determina que o mandado de busca e apreensão deve ser fundamentado, mas que não traz detalhes quanto ao que é suficiente ou não para essa fundamentação.	As regras gerais sobre busca e apreensão estão no Código de Processo Penal, que determina que o mandado de busca e apreensão deve ser fundamentado, mas que não traz detalhes quanto ao que é suficiente ou não para essa fundamentação.	0	False
A União Europeia vai recomendar quarentena obrigatória de 14 dias para viajantes que cheguem do Brasil, do Reino Unido ou da África do Sul, onde foram identificadas variantes mais contagiosas do coronavírus.	A União Europeia vai recomendar quarentena obrigatória de 14 dias para viajantes que cheguem do Brasil, do Reino Unido ou da África do Sul, onde foram identificadas variantes mais contagiosas do coronavírus.	0	False
As medidas entrariam em vigor para viagens essenciais, já que as não essenciais serão “extremamente desaconselhadas”, segundo os comissários de Justiça.	As medidas entrariam em vigor para viagens essenciais, já que as não essenciais serão “extremamente desaconselhadas”, segundo os comissários de Justiça.	0	False
Entre as exceções consideradas essenciais estão profissionais da saúde, passageiros em trânsito, viagens por motivos familiares imperativos ou para estudos e trabalhadores altamente qualificados, se o trabalho for necessário do ponto de vista econômico e não puder ser adiado nem executado no estrangeiro.	Entre as exceções consideradas essenciais estão profissionais da saúde, passageiros em trânsito, viagens por motivos familiares imperativos ou para estudos e trabalhadores altamente qualificados, se o trabalho for necessário do ponto de vista econômico e não puder ser adiado nem executado no estrangeiro.	0	False
A proposta da Comissão será agora avaliada pelo Conselho (que reúne governos dos 27 membros). Cada país, porém, tem autonomia para impôr suas restrições.	A proposta da Comissão será agora avaliada pelo Conselho (que reúne governos dos 27 membros). Cada país, porém, tem autonomia para impôr suas restrições.	0	False
Vários cientistas e sanitaristas renomados se recusaram a tomar as doses, dizendo que a decisão imprudente de aprová-la sem contar com dados de eficácia reduziu a confiança nela.	Vários cientistas e sanitaristas renomados se recusaram a tomar as doses, dizendo que a decisão imprudente de aprová-la sem contar com dados de eficácia reduziu a confiança nela.	0	False
O fármaco de Oxford produzido na Índia, aliás, tornou-se motivo de cobiça internacional.	O fármaco de Oxford produzido na Índia, aliás, tornou-se motivo de cobiça internacional.	0	False
Somente uma semana depois do previsto, na última sexta-feira, chegaram dois milhões de doses que o governo esperava.	Somente uma semana depois do previsto, na última sexta-feira, chegaram dois milhões de doses que o governo esperava.	0	False
Mesmo com esses endossos, as autoridades não conseguiram esconder os receios compartilhados por médicos em todo o país com relação à eficácia.	Mesmo com esses endossos, as autoridades não conseguiram esconder os receios compartilhados por médicos em todo o país com relação à eficácia.	0	False
Profissionais de saúde chegaram a ser ameaçados com cortes salariais pelas autoridades por se recusarem a receber a vacina.	Profissionais de saúde chegaram a ser ameaçados com cortes salariais pelas autoridades por se recusarem a receber a vacina.	0	False
Funcionários do Ministério da Saúde estão empenhados em promover a confiança nas vacinas e repreender pessoas que questionam a aprovação das vacinas.	Funcionários do Ministério da Saúde estão empenhados em promover a confiança nas vacinas e repreender pessoas que questionam a aprovação das vacinas.	0	False
Para que a pandemia se extinga, é preciso que a hesitação vacinal acabe.	Para que a pandemia se extinga, é preciso que a hesitação vacinal acabe.	0	False
